書名,頁,目次（NDL公開目次を整理したものです、頁はPDF物理頁、コメントなどはfukkoku@est.co.jpまで）
bit 1990年05月号,6,創造的学科としてのコンピューティング:障壁を取り除く……アンドリース・ヴァンダム
bit 1990年05月号,16,創造的学科としてのコンピューティング……國井利泰
bit 1990年05月号,23,情報科学の枠組……長尾真
bit 1990年05月号,28,パネル討論会:コンピュータ・サイエンスにおける創造性教育……アンドリース・ヴァンダム，國井利泰，長尾真
bit 1990年05月号,42,ACMコンピュータ・サイエンス カリキュラム'88について……國井利泰
bit 1990年05月号,45,アレフ・ゼロ 曲り角のメインフレーマ……S.P.
bit 1990年05月号,46,7bits Program=Program(Program)……THEMSKY
bit 1990年05月号,54,マイコン・トピックス Rock'n RollかRock and Rollか……前田英明
bit 1990年05月号,56,米国主要大学におけるキャンパス・ネットワーキング(完) ペンシルバニア州立大学……川添良幸，静谷啓樹
bit 1990年05月号,70,６月号予告
bit 1990年05月号,77,単語帖 TCP/IP.Kermit，ATM，デリゲーション
bit 1990年05月号,78,ソフトウェア探訪⑤ 広告メディアとなったディスケット……高橋三雄
bit 1990年05月号,81,システム救急箱⑤ システムトラブル考(4)……川辺良和
bit 1990年05月号,82,マイケルジャクソンのシステム開発法 CASEの哲学のために⑤ JSD法と他の手法との比較(その1)……有澤誠
bit 1990年05月号,99,bitレーダー
bit 1990年05月号,100,人工知能の研究者たち(完) 次世代のヒーローについて……溝口文雄
bit 1990年05月号,109,ESPerへの道 論理型オブジェクト指向言語ESP⑤ 目に見えるものは……内田洋一，近山隆
bit 1990年05月号,124,VLSIニューロコンピュータのアーキテクチャ⑨ マクロ並列アーキテクチャ……阿江忠
bit 1990年05月号,133,bit悪魔の辞典
bit 1990年05月号,134,プログラムの設計論㊱ コンピュータを受験科目に!……戸川隼人
bit 1990年05月号,136,コンピューティングの玉手箱(65) ガウシアンマシンと巡回セールスマン問題……秋山泰
bit 1990年05月号,138,ぶっくす
bit 1990年06月号,1,表紙
bit 1990年06月号,3,目次
bit 1990年06月号,5,「現実」の問題と「仮想」化の技術……木村文彦
bit 1990年06月号,6,NextStepプログラミング入門① NextStepの背景と特徴……橋本正，川端洋一
bit 1990年06月号,17,キーボード談議① キーボード・カオス……竹内郁雄
bit 1990年06月号,29,並列計算機のためのアルゴリズムとアーキテクチャ① イントロダクション……梅尾博司
bit 1990年06月号,36,アレフ・ゼロ ジョブローテーションをどうするか……JRG
bit 1990年06月号,45,メニューシェルの逆襲 徳山高専LANのその後……河村知行，江口賢和
bit 1990年06月号,53,色あざやかなBrief……前田英明
bit 1990年06月号,59,システム救急箱⑥ 誰のためのシステムか?(1)……川辺良和
bit 1990年06月号,60,ソフトウェア探訪⑥ 海外要員選抜のために 意思決定支援ソフトウェア……高橋三雄
bit 1990年06月号,63,bitレーダー
bit 1990年06月号,64,マイコン・トピックス 花咲くMacintosh……前田英明
bit 1990年06月号,66,連載 ESPerへの道 論理型オブジェクト指向言語ESP⑥ 大きな包み……佐藤泰典，近山隆
bit 1990年06月号,81,単語帖 オブジェクト指向データベース，ストリームプログラミング非単調推論，プレゼンテーション・マネージャ
bit 1990年06月号,82,スパース行列の圧縮法 行置換による縮小アルゴリズム……青江順一
bit 1990年06月号,90,7bits システム監査してますか……THEMSKY
bit 1990年06月号,96,７月号予告
bit 1990年06月号,103,VLSIニューロコンピュータのアーキテクチャ(完) 3-D VLSIアーキテクチャを目ざして……阿江忠
bit 1990年06月号,114,マイケルジャクソンのシステム開発法 CASEの哲学のために⑥ JSD法と他の手法との比較(その2)……有澤誠
bit 1990年06月号,122,プログラムの設計論㊲ スッキライザ……戸川隼人
bit 1990年06月号,124,コンピューティングの玉手箱(66) 数値微分と自動微分……久保田光一
bit 1990年06月号,126,GPCCウルトラナノピコ問題 カードゲーム「ハゲタカのえじき」……南雲夏彦
bit 1990年06月号,127,bit悪魔の辞典
bit 1990年06月号,128,ぶっくす
bit 1990年07月号,1,表紙
bit 1990年07月号,3,目次
bit 1990年07月号,5,付加価値……川添良幸
bit 1990年07月号,6,超並列コンピュータ向きアーキテクチャ……奥川峻史
bit 1990年07月号,18,並列計算機のためのアルゴリズムとアーキテクチャ――網目結合計算機②……梅尾博司
bit 1990年07月号,22,アレフ・ゼロ ACMカリキュラム'88
bit 1990年07月号,23,INS電話の使い勝手(1)……有澤博
bit 1990年07月号,27,ソフトウェア探訪⑦ あれば便利なデスクアクセサリーソフト……高橋三雄
bit 1990年07月号,30,7bits 生命の神秘……THEMSKY
bit 1990年07月号,36,８月号予告
bit 1990年07月号,43,計算と認識:Computation and Cognition NEC Research Symposiumより……甘利俊一
bit 1990年07月号,46,第2回 USENIXC++会議報告……相原玲二，阿江忠
bit 1990年07月号,48,Europal '90に参加して The First European Conference on the PracLical Application of Lisp……田中啓介
bit 1990年07月号,55,数値解析の道具箱……野寺隆
bit 1990年07月号,65,キーボード談議② 芸術を描く筆キーボード……河村知行
bit 1990年07月号,70,マイコン・トピックス 大いなる誤報……前田英明
bit 1990年07月号,72,プログラムの設計論㊳ ゲーム摩擦とその対策……戸川隼人
bit 1990年07月号,74,単語帖 RFC，kerberes，3-LISP､項書換え系
bit 1990年07月号,79,マルチプロセッサ・ワークステーション TOP-1……清水茂則，山内長承
bit 1990年07月号,87,NextStepプログラミング入門② Interface Builderの使い方……橋本正，川端洋一
bit 1990年07月号,94,bit悪魔の辞典
bit 1990年07月号,101,システム救急箱⑦ 誰のためのシステムか?(2)……川辺良和
bit 1990年07月号,102,マイケルジャクソンのシステム開発法 CASEの哲学のために⑦ JSD法とソフトウエアツール……山﨑利治
bit 1990年07月号,114,コンピューティングの玉手箱(67) ファジィ推論(その1)……馬野元秀
bit 1990年07月号,116,bitレーダー
bit 1990年07月号,123,ESPerへの道 論理型オブジェクト指向言語ESP⑦ 包みの中はもりだくさん……佐藤泰典，近山隆
bit 1990年07月号,132,ぶっくす
bit 1990年08月号,1,表紙
bit 1990年08月号,3,目次
bit 1990年08月号,5,ローマ字表記の統一……大駒誠一
bit 1990年08月号,6,Kermit入門……Mark K.Murphy
bit 1990年08月号,17,bft悪魔の辞典
bit 1990年08月号,18,INS電話の使い勝手(2)……有澤博
bit 1990年08月号,23,キーボード談議③ タッチ・タイピングを普及させるには……大岩元
bit 1990年08月号,28,7bits 続・間違い探し……THEMSKY
bit 1990年08月号,45,ハイパーメディア入門……原良憲
bit 1990年08月号,53,ソフトウェア探訪⑧ DynaBookからの教訓……高橋三雄
bit 1990年08月号,56,「オブジェクト指向データベースシステム宣言」とその意義……西尾章治郎 (阪大総長)，田中克己
bit 1990年08月号,74,マイコン・トピックス 新しい動きが始まったCD-ROM……前田英明
bit 1990年08月号,76,アレフ・ゼロ コンピュータの社会的有用性を高めよ……JRG
bit 1990年08月号,81,並列計算機のためのアルゴリズムとアーキテクチャ③ 網目木結合計算機……梅尾博司
bit 1990年08月号,87,システム救急箱⑧ 市内局番の変更がもたらす影響は?……川辺良和
bit 1990年08月号,88,NextStepプログラミング入門③ 描画・イベント処理(1) グラフイックス処理……橋本正，川端洋一
bit 1990年08月号,96,マイケルジャクソンのシステム開発法 ASEの哲学のために⑧ 座談会:CASEをどう晋及させるか JSDを中心として……有澤誠，大野侚郎，山﨑利治，吉村鐵太郎
bit 1990年08月号,109,９月号予告
bit 1990年08月号,110,プログラムの設計論㊴ 気配りとおせっかい……戸川隼人
bit 1990年08月号,112,単語帖 左辺値，プロセス，データベース，表示的意味論
bit 1990年08月号,117,ESPerへの道 論理型オブジェクト指向言語ESP⑧ 違いを知ればパワーアップ……田中吉廣，近山隆
bit 1990年08月号,127,bitレーダー
bit 1990年08月号,128,コンピューティングの玉手箱(68) ニューラルネットワークによる最適化計算……秋山泰
bit 1990年08月号,130,ぶっくす
bit 1990年09月号,1,表紙
bit 1990年09月号,3,目次
bit 1990年09月号,5,情報分野の話はわからないと言われるが・・・……池田克夫
bit 1990年09月号,6,4.3BSDのリリース・エンジニアリング……M.K.McKusick，M.J.Karels，K.Bostic，村井純，楠本博之
bit 1990年09月号,12,4.4BSDへ向けて カリフォルニア大学バークレイ校CSRGによる研究の現状……M.K.Mckusick，M.J.Karels，K.Sklower，K.Fall，M.Teitelbaum，K.Bostic，村井純，楠本博之，歌代和正
bit 1990年09月号,20,１０月号予告
bit 1990年09月号,21,アレフ・ゼロ 外国コンプレックス……S.P.
bit 1990年09月号,22,データベースの並行処理……上林弥彦
bit 1990年09月号,33,ソフトウェア探訪⑨ 時間管理のソフトウェア……高橋三雄
bit 1990年09月号,36,システム救急箱⑨ 真のユーザとは誰なのか……川辺良和
bit 1990年09月号,45,LAMS-TEX参上……I.Aredon
bit 1990年09月号,59,並列計算機のためのアルゴリズムとアーキテクチャ④ シストリック・アレイ……梅尾博司
bit 1990年09月号,67,単語帖 イーサネット，永続的オブジェクト，デスクトップ・パブリッシング，SAS
bit 1990年09月号,68,7bits こんな論文を書いた……THEMSKY
bit 1990年09月号,85,bitレーダー
bit 1990年09月号,86,INS電話の使い勝手(3)……有澤博
bit 1990年09月号,91,bit悪魔の辞典
bit 1990年09月号,92,キーボード談議④ 作り勝手と自分勝手……高嶋孝明
bit 1990年09月号,101,ESPerへの道 論理型オブジェクト指向言語ESP⑨ もっとエレガントに……田中吉廣，近山隆
bit 1990年09月号,108,マイケルジャクソンのシステム開発法 CASEの哲学のために⑨ JSD実用システムへの応用……加藤潤三，大野侚郎
bit 1990年09月号,123,NextStepプログラミング入門④ 描画・イベント処理(2) アニメーション……橋本正，川端洋一
bit 1990年09月号,132,マイコン・トピックス 風雲急を告ぐUNIX……前田英明
bit 1990年09月号,134,プログラムの設計論㊵ 乗らないわけ，売れないわけ……戸川隼人
bit 1990年09月号,136,コンピューティング玉手箱(69) 階層化意思決定法AHP……真鍋龍太郎
bit 1990年09月号,138,ぶっくす
bit 1990年10月号,1,表紙
bit 1990年10月号,3,目次
